k,arm,session,n_repeats,chat_budget_ms,budget_consumed,throughput_tok_s,conversion_pct,goodput_tok_s,goodput_min,goodput_max,batch_p50,attainment_pct,attainment_min,attainment_max,pace_ms_per_token,pace_min,pace_max
0.7,FluidServe,2026-09-15,2,35.0,0.8732277000232068,12150.806120701716,97.78775815792622,11882.000903550292,11841.385899871228,11922.615907229354,462.5,65.84222596317758,65.53668815071889,66.14776377563628,30.562969500812237,30.560834834957816,30.56510416666666
0.9,FluidServe,2026-09-15,1,45.0,0.8825184929610461,14249.64250178469,96.81741021519768,13796.134835152041,13796.134835152041,13796.134835152041,637.0,80.26925214598901,80.26925214598901,80.26925214598901,39.713332183247076,39.713332183247076,39.713332183247076
1.0,FluidServe,2026-08-31,2,50.0,0.8858611070110701,13881.380241835584,95.42048092629557,13245.679785967284,13126.14433190138,13365.215240033187,752.5,74.53875907475697,73.61921310661536,75.45830504289859,44.29305535055351,44.28266666666667,44.303444034440346
1.1,FluidServe,2026-09-15,1,55.0,0.8891086973439914,14383.204469975193,93.86737473332389,13501.136438491805,13501.136438491805,13501.136438491805,801.0,78.26571694022917,78.26571694022917,78.26571694022917,48.90097835391953,48.90097835391953,48.90097835391953
1.3,FluidServe,2026-09-15,2,65.0,0.8955698758669048,15169.616844307584,89.91654971451193,13639.996071312806,13588.068872905831,13691.923269719782,978.25,81.55875168734406,81.19673953316043,81.92076384152769,58.212041931348814,58.21050420168068,58.21357966101695
0.7,Llumnix SLO,2026-09-15,2,35.0,1.6016580334523367,7357.744274361391,83.28435278298794,6127.849698329237,6125.478852792034,6130.22054386644,323.0,21.6505504497202,21.6256432512865,21.675457648153895,56.05803117083178,55.87649119156609,56.23957115009747
0.9,Llumnix SLO,2026-09-15,1,45.0,1.5982194866896553,10658.460766831651,39.862503142805636,4248.729258152973,4248.729258152973,4248.729258152973,739.0,14.656507464535713,14.656507464535713,14.656507464535713,71.91987690103448,71.91987690103448,71.91987690103448
1.0,Llumnix SLO,2026-08-31,2,50.0,1.6290191320776046,11723.789829351532,27.79562688860961,3258.700878171313,3237.3087964425818,3280.0929599000438,952.25,12.07987004866346,11.842023684047367,12.317716413279554,81.45095660388023,80.82165492957746,82.08025827818298
1.1,Llumnix SLO,2026-09-15,1,55.0,1.442321520287622,10868.66119848767,14.236801431320647,1547.3497130716844,1547.3497130716844,1547.3497130716844,935.5,6.617601583276641,6.617601583276641,6.617601583276641,79.32768361581921,79.32768361581921,79.32768361581921
1.3,Llumnix SLO,2026-09-15,1,65.0,1.1975092330205903,11240.174477924835,13.700044613562717,1539.9089181179925,1539.9089181179925,1539.9089181179925,1068.0,6.722428748451053,6.722428748451053,6.722428748451053,77.83810014633838,77.83810014633838,77.83810014633838
0.7,PolyServe,2026-09-15,2,35.0,1.410125763716458,12818.936542414644,29.819638326433296,3822.5605142430404,3798.6381154603146,3846.4829130257663,625.0,17.356477755142308,17.183342614937196,17.529612895347416,49.35440173007603,49.28644688644688,49.42235657370517
0.8,PolyServe,2026-09-15,1,40.0,1.407841726618705,13656.284631227738,26.986722739199845,3685.3836699053895,3685.3836699053895,3685.3836699053895,746.0,17.33068963380631,17.33068963380631,17.33068963380631,56.313669064748204,56.313669064748204,56.313669064748204
0.9,PolyServe,2026-09-15,1,45.0,1.2440518316072113,14504.421073296588,25.34433931375237,3676.0496923116907,3676.0496923116907,3676.0496923116907,781.0,18.365575396825395,18.365575396825395,18.365575396825395,55.98233242232451,55.98233242232451,55.98233242232451
1.0,PolyServe,2026-08-31,2,50.0,1.286900613960093,14773.345903016143,27.051161286179013,3996.361627590016,3960.5430445354923,4032.18021064454,918.75,19.184180973538094,18.8123103597746,19.55605158730159,64.34503069800465,64.24061490154435,64.44944649446494
