series,minute,value,n_requests,run,engine_port,gauge_smoothing_s,itl_smoothing_s,attainment_window_s
kv_cache_usage_pct,33.0040,54.0944,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.0206,55.2016,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.0373,57.2852,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.0540,56.7822,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.0706,56.0114,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.0873,58.1274,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.1040,57.6868,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.1206,58.7593,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.1373,59.0688,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.1540,59.1860,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.1706,59.1149,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.1873,58.1864,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.2040,57.5474,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.2206,57.5801,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.2373,56.5222,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.2540,56.5528,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.2706,55.8856,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.2873,53.2897,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.3040,54.2307,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.3206,54.8831,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.3373,54.0032,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.3540,53.4943,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.3706,53.0597,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.3873,53.1731,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.4040,53.2721,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.4206,52.6789,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.4373,51.3628,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.4540,50.5012,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.4706,51.1361,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.4873,50.5817,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.5040,48.8793,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.5206,49.5172,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.5373,49.5251,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.5540,49.6492,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.5706,49.5410,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.5873,50.2984,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.6040,49.5366,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.6206,49.6218,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.6373,46.9266,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.6540,45.3501,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.6706,42.4981,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.6873,41.5534,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.7040,41.7135,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.7206,42.5351,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.7373,44.9733,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.7540,43.0765,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.7706,42.9766,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.7873,42.2231,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.8040,41.5708,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.8206,42.0123,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.8373,40.8830,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.8540,41.3108,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.8706,39.4660,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.8873,39.2447,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.9040,41.2617,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.9206,40.1037,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.9373,40.5161,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.9540,40.0089,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.9706,39.9453,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,33.9873,37.2575,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.0040,36.3554,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.0206,37.6493,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.0373,39.7179,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.0540,38.3391,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.0706,38.5511,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.0873,39.2446,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.1040,38.2319,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.1206,36.9455,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.1373,37.7643,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.1540,40.3928,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.1706,39.3735,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.1873,39.1022,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.2040,39.0264,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.2206,40.7704,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.2373,40.7689,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.2540,40.1415,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.2706,40.4190,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.2873,42.1816,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
kv_cache_usage_pct,34.3040,42.8810,,260831_2346_exp109r1_slot75_shift,8002,1,3,90.0000
